BTC_ADDRESS,ETH_PAYOUT,REFERRAL_CODE,HD OFFSET
1bcTNygdGLdaPSS7gxoRDWh8yGabAxkAB,0x77fdde7c3ab7be5e8298baef8770e5dad8abb6c3,,50
1FS93GfWst5WgEuQmDWF8CofnZpdRwag2P,0x8ba7408497883d3a569066fa3a331aa892138868,,51
16z6iY1w1ej3foKLJJALqQGy5mjxfwv6tL,0xfa1f419bc6e0839c55ea328211558e59d5d9aab3,,52
1EsHk56jGjMoTnGsScwjiTkpK8zbdf9g1Q,cd605e44132ddd7809efa1702207ac75cf3bd0b0,,53
12B6FDqcUtv87BMJfVQDc9Lg3dUSiLcshK,0xa8ced21d6b0ddf667ba203d2dde01fa89e253b8f,,54
1acaiFVxnLzXQocZqtE3j1ar5TTXfXx1g,0x62c94926411b4b776be94f06f45ef31382554cf5,,55
1LvQ3WN3W6Tpv5hjkkQheSHmZAaToQrg8R,0xc55e5f8266f8dafcf1d2dec491fa0ec116862ebe,,56
1GsRjsw57hLgdBemoUxDAm4QXgt5NS2aP7,0xcea60616e0603b659dfefaf95c83648270a34e33,,57
1EHFxqkEZ41KC1i61WXMmDEDXqrs3nVdEk,0x44a75543dbb45d7df79424150b1c070f220bf441,,58
19BwFjcrNSiPhueyPnGsZTnpdBiTZy9BMK,0x037554e62fee99604c4472de0a7bcc5ace345e30,,59
1KYrKWABQCaNfJe5k4PsJf9gF6RhfQc2QA,0xfaa2b86d38fbc01b9bbdc3f505a74ed5aed72fb6,,60
17x1UATgjjqhPbzE91xTd9JDvyAKSpyRmn,0xca835d88a3e6898aa17ad44bab6ce0c67a969310,,61
13sDayc8A65t1aBvS1XVmkJsnpNN3UDqns,0x57258a9baed03dffd0f505289ecb7a0456a3a767,,62
137odVQ5s5qDJpXAEQNb11gVi9fy6AM94R,0x8ba7408497883d3a569066fa3a331aa892138868,,63
13BpkTqje8JmrExbuowGBh1H6WPfHK4HQK,0x77fdde7c3ab7be5e8298baef8770e5dad8abb6c3,,64
1C3RSb9smr1y7cSLZhCMk9Gsp7wqduXAJM,0x6b4a7f25d8d646d37ff4fe19f25330dcf9e40db1,,66
1NC84as5zgRnAk5UWdgc7eU67nfvA9U3nf,0x037554e62fee99604c4472de0a7bcc5ace345e30,,67
1GSpdwTZYtxywnBwT4vYRhkZ6v3cL11BMx,0xb9e9af657f0bcdff0f90fa21fadc15e73eb62422,,68
16yAYLo5ABhzKNFxRtqKXmY78zbuitd8zA,0x87e207925639f948f30de7469400c00b790b3da3,,73
1PMtnDSRRXJfhBcDDbmSLQ9dZdoGbuxuwC,0x6b4a7f25d8d646d37ff4fe19f25330dcf9e40db1,,77
13qst8on6Xvzz3EGwWf7a9Y1syfWro6Ndi,0x8ba7408497883d3a569066fa3a331aa892138868,,79
173pjK1MjUok96qUyVcHUJPATf7NizJkXv,0x16c456faeeff91ea8d550b86cc397a98099bb289,,81
1BLvSAg1msmvsvVA7spMEzRvkKyjJomQGx,0x1cfe45f3722e2221f0eecec8245c78f14f853034,,83
1EoZqEUEy5hbwfYLpDAcPYccXdW9ts4bNv,0x34214f5a621b9337d494625d4b9e99677a495b68,,85
14NPEcw1EXkZNFXytDw4emGY3vrfJkYN5E,0xf54c655ac5f39b5f5d9e0f843d3150d9730eb33a,,2038
1QAJygyHmT6dahyddYPvQEwiMZucEoX22G,0xb2ef622a1e470d5817990e9e0ebd45dac305463a,,2489
13itdFDcsdBSw7ivkFwCierAs8W7abLM9J,0xd7a8679e286f890260550a2f7bf7248e59a3aabf,,2491
