timestamp,unix-epoch,from,to,txid,amount
10/02/2017 09:07:48,1506960468000,12GAyCZnCkN3MgNnm3fZu89XxehqH9jCWv,13puw8fuU3hWcZwfrxgZg3jDF19KYZtcKC,e7e75f9a457b144f7cbc7c69df84b7085d77eb74348cea3aff845c8d3d1ae53f,0.081538
10/02/2017 09:06:06,1506960366000,1KoJTZC9Azig7NpnHX8EzyYuKKn9SWyHWU,193qce97tY3Bd62n5TibyTWTysw4TJ9Yxu,b06c571c47452a26de6835c84aef3d126b7fc90c42680c1ebe5886ef698b18dd,0.07
10/02/2017 09:00:14,1506960014000,13owMhR3QWCkMZnSxExar8aWmiTLdHtfQg,1FDYr44cszcpojTyt2NrM3M2PMQtcTZhrs,7d5d6b72b7796f6b0b99832b62e0354d51bbf8a7d56f6c8e3fd636c2d8191ec5,0.0323387
10/02/2017 08:59:15,1506959955000,1NxHofqbkefdoQtE1X56iMdcbMHeMr2L1b,1Nf2rkyqW2U8Nz21k6P36779hS3wC89KhL,82d22ff0a1862977e7d3698d7ef69ecb357a280b5ab42e45dcd8a69d6368b5dc,0.00194806
10/02/2017 08:58:12,1506959892000,1HTMvokMwA3JQQrkhhTgKwnt6NxiEQ6Lmx,15tnBsRxyYd28gPRsEqLhhufacXkEXZx5L,c251063138d9ffeaf8ffcf6bb0580aa9d2f22f1f8c605535ec5ace9d5140be9c,0.03
10/02/2017 08:55:31,1506959731000,19aL69DrbNtWpSMcbBxRxz7zH6kJxgcD29,1Ddb9QhntzScyArv6oH5NHHnFYfeAi392b,0f66afd363ac068095251891a23fb6e79523c25d530cc57a033578a1c16ddf77,0.45637406
10/02/2017 08:55:26,1506959726000,1N6tVM68EdmRbRVHASade9DkAPkWbwGbfa,1CTWjXNppHEUmo96x2P7LUYxrsTDXEAFU4,6747b3741b76689bc89f9d405f62fdaa7f231232b004183368690e6c627da4a0,0.0122237
10/02/2017 08:54:08,1506959648000,35Wia8XjTsbXvvpPCkMQgzT9TqEQLo8LbZ,1Q2CxoAYySyv1k578uBmN8t7P2zGW5YiyZ,d2a32cd558dd98a27263976c8661fc2c660f393cfa4f26b9d5853c0849e61ff8,0.11420349
10/02/2017 08:53:03,1506959583000,1MrYiqqvQ4kWSe3rZBfEemBhRatAqzkvuC,1GVzruKoNUyVByjeCwF6MtjF4gsboFdksD,e166d2bac20c296d3e1c0c903095a5606df6dea86220c0edffdacf565bc7b3b3,0.02098
10/02/2017 10:08:36,1506964116000,1PCwgidrBwVikqYsy6bBiG9ifsL7MHEZae,1JqAzDw5MsuHAqkK4WkzHLVc9fTjqBz4LC,84eeef2c141b1468d8d1d2a0f65fbcad578c19afbc551c0b9e2d125ad7de238a,2
